C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
1,67.0,2,5,1, ,4, ,3,2,1,3, ,56.0,,56.0,,,,,,,,,,,,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,67.0,65_mas,0,1,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,Secundaria incompleta,0,0,0,1,0,0,0,0,1,0,1,1,0,0,56.0,56.0,0.0,0,1,0,,1,0,1,0,0,0,0,,,,,,,,,0.0,0,,0,0,0,0,0
2,39.0,2,9,3, ,3,2, , ,5,9998,2,33.0,,33.0,,2000.0,2000.0,2000.0,2000.0,,,,7.601402334583733,7.601402334583733,7.601402334583733,1,1,2,2,1,2,2,2,2,2,2,10,1,0,0,0,0,0,1,0,39.0,35_44,0,0,0,1,0,0,0,0,1,0,0,9,0,0,1,0,0,1,0,Superior universitaria,0,1,0,0,0,1,0,0,0,0,0,0,1,0,33.0,33.0,0.0,1,0,0,,1,1,0,0,1,1,1,2000.0,2000.0,2000.0,7.601402334583733,7.601402334583733,7.601402334583733,13.9967807404297,2.7078355607639337,0.0,0,1.0,1,0,0,0,0
2,45.0,2,3, ,1,4, ,3,2,1,2, ,54.0,,54.0,,,,,,,,,,,,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,45.0,45_54,0,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1,Primaria,0,0,0,1,0,0,0,0,1,0,1,1,0,0,54.0,54.0,0.0,0,1,0,,1,0,1,0,0,0,0,,,,,,,,,0.0,0,,0,0,0,0,0
2,48.0,2,5,2, ,6, , , ,1,1,1,40.0,9.0,49.0,,1933.0,1633.0,2033.0,1200.0,,300.0,,7.56734567601324,7.3987862754199485,7.617759576608505,5,2,1,2,1,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,48.0,45_54,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,Secundaria incompleta,0,0,0,0,1,0,0,0,0,0,0,1,0,1,49.0,40.0,9.0,0,1,0,,1,0,1,0,1,1,1,1933.0,1633.0,2033.0,7.56734567601324,7.3987862754199485,7.617759576608505,9.581939011170288,2.35914868101516,300.0,1,0.8448008277289187,1,0,0,0,0
1,24.0,1,6,5, ,3,5,1, ,5,5000,2,70.0,,70.0,,3230.0,3230.0,4146.0,2700.0,,,,8.080546965824498,8.080546965824498,8.330140460246382,1,1,2,1,2,2,2,2,2,2,2,10,5,0,0,0,0,0,0,1,24.0,14_24,1,0,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,0,1,0,70.0,70.0,0.0,0,1,1,,1,1,0,1,0,1,1,3230.0,3230.0,4146.0,8.080546965824498,8.080546965824498,8.330140460246382,13.67865390960079,2.686394323450796,0.0,0,1.0,1,0,1,0,0
1,37.0,3,11,5, ,2, ,2,2,1,1,2,36.0,,36.0,,2600.0,2600.0,2600.0,,2600.0,,,7.8636512654486515,7.8636512654486515,7.8636512654486515,2,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,37.0,35_44,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,1,0,0,0,0,0,0,1,0,0,0,1,0,0,36.0,36.0,0.0,0,0,0,,1,0,1,1,0,1,1,2600.0,2600.0,2600.0,7.8636512654486515,7.8636512654486515,7.8636512654486515,16.67949704901206,2.872405609350792,2600.0,1,1.0,1,0,1,0,0
1,22.0,1,6,5, ,3,1, , ,5,9998,2,48.0,,48.0,,4020.0,4020.0,4095.0,3570.0,,,,8.299285906897275,8.299285906897275,8.317766166719343,4,2,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,22.0,14_24,1,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,1,0,0,0,0,0,0,1,0,48.0,48.0,0.0,0,0,0,,1,0,0,0,0,0,0,4020.0,4020.0,4095.0,8.299285906897275,8.299285906897275,8.317766166719343,19.702655889145497,3.030261995864546,0.0,0,1.0,1,0,1,0,0
2,16.0,3,5,4, ,3,5,2,2,1,2,2,60.0,,60.0,,996.0,996.0,996.0,996.0,,,,6.904750769961838,6.904750769961838,6.904750769961838,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,16.0,14_24,1,0,0,0,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,Secundaria incompleta,0,1,0,0,0,0,1,1,0,0,0,1,0,0,60.0,60.0,0.0,0,1,0,,1,1,0,0,0,0,0,996.0,996.0,996.0,6.904750769961838,6.904750769961838,6.904750769961838,3.833718244803695,1.5756159944435095,0.0,0,1.0,1,1,0,0,0
2,53.0,1,8,2, ,2, ,3,2,1,1,2,3.0,,16.0,16.0,520.0,520.0,520.0,,520.0,,,6.255750041753367,6.255750041753367,6.255750041753367,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,53.0,45_54,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0,Superior no universitaria,1,0,0,0,0,0,0,0,1,0,1,1,0,0,16.0,3.0,0.0,1,0,0,0.0,1,0,1,0,0,0,0,520.0,520.0,520.0,6.255750041753367,6.255750041753367,6.255750041753367,7.505773672055427,2.140745188442575,520.0,1,1.0,1,1,0,0,0
1,38.0,3,9,3, ,3,5,3,2,1,5,2,55.0,,55.0,,4850.0,4850.0,4850.0,4330.0,,,,8.486940148245216,8.486940148245216,8.486940148245216,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,38.0,35_44,0,0,0,0,1,0,0,0,0,0,1,9,0,0,1,0,0,1,0,Superior universitaria,0,1,0,0,0,0,1,0,1,0,1,1,0,0,55.0,55.0,0.0,0,1,0,,1,0,1,0,0,0,0,4850.0,4850.0,4850.0,8.486940148245216,8.486940148245216,8.486940148245216,20.365315977325213,3.061768858470604,0.0,0,1.0,1,0,1,0,0
