C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
44.0,7.378383712996714,7.621684998724611,1600.0,2041.0,False,True,0,1160.0,0,1600.0,2.4606810706777247,0.0,10.71278605920638,7,1,7.378383712996714,36.0,0.0,1600.0,1,2,44.0,0,2,10.0,11,True,1,False,1,1,1
36.0,7.313886831633462,7.313886831633462,1500.0,1500.0,False,True,0,1160.0,0,1500.0,2.363001388080955,0.0,9.62278675904542,7,5,7.313886831633462,32.0,0.0,1500.0,1,1,36.0,1,1,10.0,6,False,0,False,0,1,1
84.0,6.3473892096560105,6.3473892096560105,570.0,570.0,False,True,0,270.0,0,570.0,0.942792266559127,270.0,1.5671395579016825,9,5,6.3473892096560105,55.0,0.0,1500.0,0,2,84.0,1,1,10.0,1,False,1,True,0,1,0
45.0,8.922791623969637,9.145908511816794,7500.0,9375.0,False,True,0,1160.0,0,7500.0,3.894142778558253,0.0,48.1139337952271,7,3,8.922791623969637,31.0,0.0,7500.0,1,1,45.0,0,2,10.0,9,False,1,False,1,1,1
38.0,7.438971592395862,7.468513271496337,1700.0,1751.0,False,True,0,1160.0,0,1700.0,2.454601144458056,0.0,10.64178923058223,7,1,7.438971592395862,48.0,0.0,1700.0,1,2,38.0,0,2,10.0,9,False,0,False,0,1,1
48.0,8.150467911624004,8.150467911624004,3464.0,3464.0,False,True,0,1160.0,0,3464.0,2.8716796248840124,0.0,16.666666666666668,7,1,8.150467911624004,34.0,0.0,3464.0,1,1,48.0,0,2,10.0,6,False,1,False,0,1,1
34.0,8.006700845440367,8.372629740224884,3000.0,4326.0,False,True,0,1160.0,0,3000.0,3.006326163911148,0.0,19.2130040859833,1,1,8.006700845440367,34.0,0.0,3000.0,1,1,52.0,0,2,10.0,11,False,1,False,1,1,1
48.0,6.933423025730715,7.166265974133638,1025.0,1294.0,False,True,0,1160.0,0,1025.0,1.977677749093817,0.0,6.225943033102387,7,1,6.933423025730715,31.0,0.0,1025.0,1,2,48.0,0,2,10.0,6,False,0,False,1,1,1
42.0,7.687538766201629,7.687538766201629,2180.0,2180.0,False,True,0,2180.0,0,2180.0,2.5639675628993417,2180.0,11.98724293412515,7,5,7.687538766201629,31.0,0.0,1500.0,0,2,42.0,1,1,10.0,11,False,0,True,1,1,0
44.0,7.77485576666552,7.77485576666552,2379.0,2379.0,False,True,0,1729.0,0,1729.0,2.288654041708923,2379.0,8.861655367652537,7,5,7.455876687491824,19.0,18.0,1500.0,0,2,62.0,1,1,18.0,6,False,1,True,0,1,0
33.0,7.808323050391055,7.808323050391055,2460.0,2460.0,False,True,0,1350.0,0,1460.0,2.379113937065189,2350.0,9.795333280242096,7,5,7.2868764117507,26.0,25.0,1500.0,1,2,58.0,1,1,25.0,5,False,0,True,0,1,1
24.0,7.601402334583733,7.601402334583733,2000.0,2000.0,False,True,0,1160.0,1,2000.0,3.007936177958683,0.0,19.24557351809084,6,5,7.601402334583733,27.0,0.0,2000.0,1,1,24.0,1,1,10.0,11,False,0,False,0,1,1
48.0,6.736966958001855,6.736966958001855,842.0,842.0,False,True,0,1160.0,0,842.0,1.619624497665742,0.0,4.051193225558122,1,5,6.736966958001855,57.0,0.0,400.0,0,2,48.0,1,1,10.0,3,False,1,True,0,1,0
24.0,8.03947991910045,8.142063283104147,3100.0,3435.0,False,True,0,1160.0,0,1800.0,2.654769600481956,950.0,13.221709006928403,1,1,7.496097345175956,34.0,28.0,1800.0,1,2,60.0,0,2,28.0,6,False,0,False,1,1,1
60.0,7.20934025660291,7.20934025660291,1351.0,1351.0,False,True,0,1160.0,0,1351.0,1.8245741247408,0.0,5.200153964588145,7,5,7.20934025660291,21.0,0.0,1039.0,0,2,60.0,1,1,10.0,10,False,0,False,0,1,0
21.0,7.324489979348532,7.324489979348532,1516.0,1516.0,False,True,0,1160.0,1,1516.0,2.871990825623447,0.0,16.67216540195755,7,5,7.324489979348532,33.0,0.0,1516.0,1,1,21.0,1,1,10.0,10,False,1,False,1,1,1
40.0,9.61587214452889,9.770013301136158,15000.0,17500.0,False,True,0,1160.0,0,15000.0,4.625357650695216,0.0,101.03926096997692,6,1,9.61587214452889,54.0,0.0,15000.0,1,1,40.0,0,2,10.0,12,False,0,False,1,1,1
2.0,5.497168225293202,5.497168225293202,243.0,243.0,True,False,1,243.0,1,243.0,3.369364247589478,243.0,28.060046189376443,6,5,5.497168225293202,29.0,0.0,1500.0,0,2,2.0,1,1,10.0,10,False,0,True,0,1,0
48.0,8.006700845440367,8.006700845440367,3000.0,3000.0,False,True,0,3000.0,0,3000.0,2.73658453950858,3000.0,14.434180138568127,7,1,8.006700845440367,68.0,0.0,1500.0,1,1,48.0,0,2,10.0,11,False,1,True,1,1,1
45.0,8.682877107057168,8.682877107057168,5900.0,5900.0,False,True,0,5900.0,0,5900.0,3.442969399491473,5900.0,30.27970233512959,7,1,8.682877107057168,62.0,0.0,1500.0,0,2,45.0,0,2,10.0,12,False,0,True,1,1,0
40.0,7.457609289715606,7.457609289715606,1732.0,1732.0,False,True,0,1160.0,0,1732.0,2.3978952727983707,0.0,10.0,7,5,7.457609289715606,26.0,0.0,1732.0,0,2,40.0,1,1,10.0,11,False,0,False,1,1,0
36.0,7.824445930877619,7.824445930877619,2500.0,2500.0,False,True,0,2500.0,0,2500.0,2.363001388080955,2500.0,9.62278675904542,1,6,7.824445930877619,62.0,0.0,1500.0,1,1,60.0,0,2,10.0,11,False,0,True,1,0,0
0.0,7.741099090035366,7.762596048540069,2300.0,2350.0,False,True,0,1160.0,0,2000.0,1.765716693405379,300.0,4.845760475090729,1,1,7.601402334583733,59.0,35.0,2000.0,1,1,112.0,0,2,35.0,6,False,0,False,0,1,1
45.0,8.412054873292933,8.635153989049803,4500.0,5625.0,False,True,0,1160.0,0,4500.0,3.3967997354127544,0.0,28.86836027713625,7,3,8.412054873292933,35.0,0.0,4500.0,1,2,45.0,0,2,10.0,11,True,0,False,1,1,1
0.0,8.131824785007195,8.160803920954665,3400.0,3500.0,False,True,0,1160.0,1,3400.0,3.3301954549935173,0.0,26.943802925327173,7,1,8.131824785007195,59.0,0.0,3400.0,1,2,30.0,0,2,10.0,11,False,0,False,0,1,1
