C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
1,29.0,1,6,5, ,2, ,3,2,1,1,2,84.0,,84.0,,4100.0,4100.0,4100.0,,4100.0,,,8.31898612539206,8.31898612539206,8.31898612539206,5,2,1,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,29.0,25_34,1,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,84.0,84.0,0.0,0,1,1,,1,0,1,0,1,1,1,4100.0,4100.0,4100.0,8.31898612539206,8.31898612539206,8.31898612539206,11.272407346310347,2.5073534372218647,4100.0,1,1.0,1,0,1,0,0
1,37.0,1,11,5, ,3,5,1, ,5,650,2,50.0,,50.0,,4000.0,4000.0,4025.0,4000.0,,,,8.294299608857235,8.294299608857235,8.300528606199737,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,1,37.0,35_44,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,0,1,0,50.0,50.0,0.0,0,1,0,,1,1,0,1,0,1,1,4000.0,4000.0,4025.0,8.294299608857235,8.294299608857235,8.300528606199737,18.59122401847575,2.975081711805245,0.0,0,1.0,1,0,1,0,0
1,33.0,1,6,5, ,3,5,1, ,2,30,2,46.0,,48.0,48.0,1025.0,1025.0,1025.0,1025.0,,,,6.933423025730715,6.933423025730715,6.933423025730715,1,1,2,1,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1,0,1,33.0,25_34,0,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,0,48.0,46.0,0.0,0,0,0,0.0,1,1,0,1,0,1,1,1025.0,1025.0,1025.0,6.933423025730715,6.933423025730715,6.933423025730715,4.931678214010778,1.780307177020577,0.0,0,1.0,1,0,0,0,0
1,27.0,7,6,5, ,3,5,3,2,1,2,1,54.0,,54.0,,1039.0,1039.0,1039.0,1039.0,,,,6.946975992135418,6.946975992135418,6.946975992135418,5,2,1,1,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1,0,1,27.0,25_34,1,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,0,1,0,1,1,0,1,54.0,54.0,0.0,0,1,0,,1,0,1,1,0,1,1,1039.0,1039.0,1039.0,6.946975992135418,6.946975992135418,6.946975992135418,4.443589085621419,1.6944386017092568,0.0,0,1.0,1,0,0,0,0
1,63.0,1,6,5, ,2, ,3,2,1,1,2,24.0,,48.0,48.0,900.0,900.0,900.0,,900.0,,,6.803505257608338,6.803505257608338,6.803505257608338,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,1,63.0,55_64,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,48.0,24.0,0.0,0,0,0,0.0,1,0,1,0,0,0,0,900.0,900.0,900.0,6.803505257608338,6.803505257608338,6.803505257608338,4.330254041570439,1.6733988996255003,900.0,1,1.0,1,1,0,0,0
2,60.0,2,6,5, ,2, ,2,2,1,1,2,60.0,,60.0,,1032.0,1032.0,1032.0,,1032.0,,,6.940222469119639,6.940222469119639,6.940222469119639,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,60.0,55_64,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,1,0,0,0,1,0,0,60.0,60.0,0.0,0,1,0,,1,0,1,0,0,0,0,1032.0,1032.0,1032.0,6.940222469119639,6.940222469119639,6.940222469119639,3.972286374133949,1.6038797693618732,1032.0,1,1.0,1,0,0,0,0
2,33.0,3,11,5, ,3,5,2,1,1,6,2,46.0,,46.0,,1083.0,1083.0,1083.0,1083.0,,,,6.988413181999592,6.988413181999592,6.988413181999592,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,33.0,25_34,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,1,0,1,0,0,46.0,46.0,0.0,0,0,0,,1,0,1,0,0,0,0,1083.0,1083.0,1083.0,6.988413181999592,6.988413181999592,6.988413181999592,5.437292900893664,1.8621080947374005,0.0,0,1.0,1,0,0,0,0
1,41.0,1,6,5, ,2, ,3,2,1,1,2,27.0,,27.0,,1415.0,1415.0,1415.0,,1415.0,,,7.255591274253665,7.255591274253665,7.255591274253665,6,2,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,1,41.0,35_44,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,27.0,27.0,0.0,1,0,0,,0,0,0,1,0,1,0,1415.0,1415.0,1415.0,7.255591274253665,7.255591274253665,7.255591274253665,12.103327345821572,2.5728661938198596,1415.0,1,1.0,1,0,0,0,0
2,45.0,2,6,5, ,2, ,3,2,1,1,2,22.0,,22.0,,1000.0,1000.0,1000.0,,850.0,,,6.90875477931522,6.90875477931522,6.90875477931522,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,1,0,45.0,45_54,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,22.0,22.0,0.0,1,0,0,,1,0,1,0,0,0,0,1000.0,1000.0,1000.0,6.90875477931522,6.90875477931522,6.90875477931522,10.497585555322276,2.4421370616151523,850.0,1,1.0,1,1,0,0,0
2,25.0,3,6,5, ,3,5,1, ,4,150,2,48.0,,48.0,,1025.0,1025.0,1025.0,1025.0,,,,6.933423025730715,6.933423025730715,6.933423025730715,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,25.0,25_34,1,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,0,1,0,48.0,48.0,0.0,0,0,0,,1,1,0,1,0,1,1,1025.0,1025.0,1025.0,6.933423025730715,6.933423025730715,6.933423025730715,4.931678214010778,1.780307177020577,0.0,0,1.0,1,0,0,0,0
