C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas
1,26.0,3,10,2, ,3,5,1, ,2,32,2,20.0,,20.0,,817.0,817.0,817.0,600.0,,,,6.706862336602747,6.706862336602747,6.706862336602747,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,49.0,1,6,5, ,3,5,1, ,5,9998,2,41.0,,41.0,,3500.0,3500.0,4409.0,3500.0,,,,8.160803920954665,8.160803920954665,8.391629968440892,1,1,2,1,2,2,2,2,2,2,2,10,5,0,0,0,0,0,0
2,48.0,2,12,2, ,3,2, , ,5,9998,2,30.0,,30.0,,3400.0,3400.0,3450.0,3400.0,,,,8.131824785007195,8.131824785007195,8.146419323098003,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,47.0,3,6,5, ,2, ,3,2,1,1,2,40.0,,40.0,,2850.0,2850.0,2850.0,,2850.0,,,7.955425088912672,7.955425088912672,7.955425088912672,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,39.0,4,9,3, ,2, ,3,2,1,1,2,20.0,,20.0,,2000.0,2000.0,2000.0,,2000.0,,,7.601402334583733,7.601402334583733,7.601402334583733,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,50.0,1,9,3, ,2, ,3,2,1,1,2,84.0,,84.0,,4300.0,4300.0,4300.0,,4300.0,,,8.366602832783736,8.366602832783736,8.366602832783736,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,53.0,1,11,5, ,3,5,1, ,1,20,2,40.0,,40.0,,6000.0,6000.0,7500.0,6000.0,,,,8.699681400989514,8.699681400989514,8.922791623969637,3,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,1,1
1,60.0,1,9,3, ,3,2, , ,5,9998,2,48.0,,48.0,,4500.0,4500.0,4550.0,4500.0,,,,8.412054873292933,8.412054873292933,8.423102268016642,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,53.0,2,6,5, ,2, ,3,2,1,1,2,51.0,,51.0,,1623.0,1623.0,1623.0,,1363.0,,,7.392647520721623,7.392647520721623,7.392647520721623,1,1,2,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,32.0,3,6,5, ,3,2, , ,5,9998,2,44.0,,44.0,,1300.0,1300.0,1350.0,1300.0,,,,7.170888478512505,7.170888478512505,7.208600337960199,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,37.0,1,12,2, ,3,5,1, ,1,10,2,40.0,,40.0,,2500.0,2500.0,3124.0,2500.0,,,,7.824445930877619,7.824445930877619,8.047189562170502,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,36.0,2,11,5, ,3,2, , ,5,9998,2,40.0,,40.0,,3500.0,3500.0,3500.0,3500.0,,,,8.160803920954665,8.160803920954665,8.160803920954665,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,45.0,1,6,5, ,3,5,1, ,2,50,2,25.0,,25.0,,4000.0,4000.0,4333.0,4000.0,,,,8.294299608857235,8.294299608857235,8.374246182096304,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,60.0,1,11,5, ,3,5,1, ,4,350,2,40.0,,40.0,,4500.0,4500.0,5625.0,4500.0,,,,8.412054873292933,8.412054873292933,8.635153989049803,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,57.0,9,6,5, ,6, , , ,1,1,2,64.0,,64.0,,1190.0,1190.0,1256.0,800.0,,,,7.0825485693553,7.0825485693553,7.136483208590247,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,38.0,2,6,5, ,6, , , ,1,1,2,9.0,,12.0,12.0,87.0,87.0,87.0,87.0,,,,4.477336814478207,4.477336814478207,4.477336814478207,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,39.0,1,3, ,3,3,5,1, ,1,18,2,56.0,,56.0,,2598.0,2598.0,2598.0,2598.0,,,,7.86288203464149,7.86288203464149,7.86288203464149,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,36.0,1,5,2, ,3,5,3,2,2,50,2,45.0,,45.0,,2598.0,2598.0,2598.0,2598.0,,,,7.86288203464149,7.86288203464149,7.86288203464149,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,46.0,1,11,5, ,3,5,1, ,1,5,2,48.0,36.0,84.0,,8500.0,4500.0,9650.0,4500.0,,,4000.0,9.04793908261736,8.412054873292933,9.174816815907135,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,1,1,0
