ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24,C208_num,OCUP300_num,P209H_num,target_subempleo_horas,whoraT_missing_flag,C318_T_missing_flag,C208_outlier_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,INGTOT_log,INGTOTP_log,INGTRABW_log,I339_1_log,I342_log,I345_1_log,I348_log,C208_minmax,C318_T_minmax,C328_T_minmax,whoraT_minmax,C331_minmax,INGTOT_minmax,INGTOTP_minmax,ingtrabw_minmax,I339_1_minmax,I342_minmax,I345_1_minmax,I348_minmax,INGTOT_log_minmax,INGTOTP_log_minmax,INGTRABW_log_minmax
2024,10,17564,1,125,1,1,202410175641012000,1,1,1,1,2, ,1,29.0,1,1,7.0,12.0,1994,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,6,13,13,13,13,13,13,84.0,,84.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,4100.0, ,,, , , ,4100.0,4100.0,4100.0,1,1063.82213760613,,,,29.0,1.0,2.0,0,0,0,0,0,0,0,8.31898612539206,8.31898612539206,8.31898612539206,,8.31898612539206,,,0.19230769230769232,0.75,,0.7454545454545454,,0.10243268245118384,0.10243268245118384,0.10243268245118384,,0.10247756193904849,,,0.7527054014166543,0.7527054014166543,0.7527054014166543
2024,10,17652,1,55,1,1,202410176521004992,1,1,1,1,2, ,1,37.0,1,1,13.0,1.0,1987,1, , , , , , , , , , , , , , , ,3257,4220,3,5,1, ,5,650,0,9,9,9,9,9,5,50.0,,50.0,1,,1,1,1,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000.0, ,, ,,, , ,25,4000.0,4000.0,4025.0,1,738.62511126398,,,,37.0,1.0,1.0,1,0,0,0,0,0,0,8.294299608857235,8.294299608857235,8.300528606199737,8.294299608857235,,,,0.2948717948717948,0.4464285714285714,,0.43636363636363634,,0.09993249493712028,0.09993249493712028,0.10055754181563617,0.1238500531948182,,,,0.7500251042146807,0.7500251042146807,0.7507014071723968
2024,10,17652,1,56,1,1,202410176521004992,1,1,1,1,2, ,1,33.0,1,1,17.0,8.0,1991,1, , , , , , , , , , , , , , , ,4321,4630,3,5,1, ,2,30,0,8,8,8,8,8,6,46.0,,48.0,2,48.0,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1025.0, ,, ,,, , , ,1025.0,1025.0,1025.0,1,738.62511126398,,,,33.0,1.0,1.0,1,0,0,0,0,0,0,6.933423025730715,6.933423025730715,6.933423025730715,6.933423025730715,,,,0.24358974358974358,0.4107142857142857,,0.41818181818181815,0.41818181818181815,0.02555191639372953,0.02555191639372953,0.02555191639372953,0.03075912134676763,,,,0.6022702076159693,0.6022702076159693,0.6022702076159693
2024,10,17652,1,56,1,1,202410176521004992,1,4,7,1,2, ,1,27.0,4,4,7.0,2.0,1997,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,9,9,9,9,9,9,54.0,,54.0,1,,1,1,1,1,2,240, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1039.0, ,, ,,, , , ,1039.0,1039.0,1039.0,1,738.62511126398,,,,27.0,1.0,1.0,1,0,0,0,0,0,0,6.946975992135418,6.946975992135418,6.946975992135418,6.946975992135418,,,,0.16666666666666666,0.4821428571428571,,0.4727272727272727,,0.025901942645698426,0.025901942645698426,0.025901942645698426,0.03119719632017022,,,,0.6037416982526382,0.6037416982526382,0.6037416982526382
2024,10,25077,1,31,1,1,202410250771003008,1,1,1,1,2, ,1,63.0,1,1,17.0,1.0,1961,1, , , , , , , , , , , , , , , ,7221,2511,2, ,3,2,1,1,0,0,0,8,8,8,0,24.0,,48.0,2,48.0,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,900.0, ,,, , , ,900.0,900.0,900.0,1,1157.78331367296,,,,63.0,1.0,1.0,1,0,0,0,0,0,0,6.803505257608338,6.803505257608338,6.803505257608338,,6.803505257608338,,,0.6282051282051282,0.21428571428571427,,0.41818181818181815,0.41818181818181815,0.022426682001150083,0.022426682001150083,0.022426682001150083,,0.022475561889047226,,,0.5881646034537199,0.5881646034537199,0.5881646034537199
2024,10,25077,1,31,1,1,202410250771003008,1,2,2,1,2, ,2,60.0,2,2,25.0,11.0,1963,1, , , , , , , , , , , , , , , ,5213,4782,2, ,2,2,1,1,10,10,10,10,0,10,10,60.0,,60.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1032.0, ,,, , , ,1032.0,1032.0,1032.0,1,1090.06600766393,,,,60.0,1.0,2.0,0,0,0,0,0,0,0,6.940222469119639,6.940222469119639,6.940222469119639,,6.940222469119639,,,0.5897435897435896,0.5357142857142857,,0.5272727272727272,,0.025726929519713976,0.025726929519713976,0.025726929519713976,,0.025775644391109777,,,0.6030084457981203,0.6030084457981203,0.6030084457981203
2024,10,25077,1,31,1,1,202410250771003008,1,3,3,1,2, ,2,33.0,3,1,28.0,3.0,1991,1, , , , , , , , , , , , , , , ,3432,1811,3,5,2,1,1,6,0,8,8,8,8,8,6,46.0,,46.0,1,,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1083.0, ,, ,,, , , ,1083.0,1083.0,1083.0,1,1314.28220729624,,,,33.0,1.0,2.0,0,0,0,0,0,0,0,6.988413181999592,6.988413181999592,6.988413181999592,6.988413181999592,,,,0.24358974358974358,0.4107142857142857,,0.39999999999999997,,0.027002025151886388,0.027002025151886388,0.027002025151886388,0.03257400337943551,,,,0.6082406717669419,0.6082406717669419,0.6082406717669419
2024,10,25077,1,33,1,1,202410250771003008,1,1,1,1,2, ,1,41.0,1,1,12.0,12.0,1982,1, , , , , , , , , , , , , , , ,9621,4923,2, ,3,2,1,1,0,5,5,5,5,5,2,27.0,,27.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1415.0, ,,, , , ,1415.0,1415.0,1415.0,1,1464.71772449194,,,,41.0,1.0,1.0,1,0,0,0,0,0,0,7.255591274253665,7.255591274253665,7.255591274253665,,7.255591274253665,,,0.34615384615384615,0.24107142857142855,,0.22727272727272727,,0.0353026476985774,0.0353026476985774,0.0353026476985774,,0.0353508837720943,,,0.6372490858170581,0.6372490858170581,0.6372490858170581
2024,10,25077,1,33,1,1,202410250771003008,1,2,2,1,2, ,2,45.0,2,2,19.0,12.0,1978,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,2,3,3,3,6,2,3,22.0,,22.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,850.0,150,,, , , ,1000.0,1000.0,1000.0,1,1090.06600766393,,,,45.0,1.0,1.0,1,0,0,0,0,0,0,6.90875477931522,6.90875477931522,6.90875477931522,,6.746412128573375,,,0.39743589743589736,0.19642857142857142,,0.1818181818181818,,0.02492686951521364,0.02492686951521364,0.02492686951521364,,0.021225530638265953,,,0.5995918940616136,0.5995918940616136,0.5995918940616136
2024,10,25077,1,33,1,1,202410250771003008,1,3,3,1,2, ,2,25.0,3,2,24.0,10.0,1998,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,150,0,8,8,8,8,8,8,48.0,,48.0,1,,2, ,2,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1025.0, ,, ,,, , , ,1025.0,1025.0,1025.0,1,1314.28220729624,,,,25.0,1.0,2.0,0,0,0,0,0,0,0,6.933423025730715,6.933423025730715,6.933423025730715,6.933423025730715,,,,0.141025641025641,0.42857142857142855,,0.41818181818181815,,0.02555191639372953,0.02555191639372953,0.02555191639372953,0.03075912134676763,,,,0.6022702076159693,0.6022702076159693,0.6022702076159693
2024,10,25077,1,34,1,1,202410250771003008,1,1,1,1,2, ,2,56.0,1,1,20.0,9.0,1968,1, , , , , , , , , , , , , , , ,7354,9529,2, ,3,2,1,1,0,6,6,7,7,6,7,39.0,,39.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,, ,606.0, ,,, , , ,606.0,606.0,606.0,1,1090.06600766393,,,,56.0,1.0,2.0,0,0,0,0,0,0,0,6.408528791059498,6.408528791059498,6.408528791059498,,6.408528791059498,,,0.5384615384615384,0.3482142857142857,,0.33636363636363636,,0.015076130709803235,0.015076130709803235,0.015076130709803235,,0.015125378134453362,,,0.5452806948778439,0.5452806948778439,0.5452806948778439
2024,10,25077,1,34,1,1,202410250771003008,1,2,3,1,2, ,2,21.0,2,2,24.0,1.0,2003,1, , , , , , , , , , , , , , , ,2359,8510,3,5,1, ,1,10,0,0,0,0,6,0,0,6.0,24.0,30.0,1,,1,2,2,1,4,400, , , ,960, , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,400.0, ,, ,960.0,, , , ,1360.0,400.0,1360.0,1,1363.57072891482,,,,21.0,1.0,2.0,0,0,0,0,0,0,0,7.215975002651466,5.993961427306569,7.215975002651466,5.993961427306569,,6.8679744089702925,,0.08974358974358973,0.05357142857142857,0.2588235294117647,0.2545454545454545,,0.03392754456584244,0.009925744430832313,0.03392754456584244,0.011202202891294826,,0.06690518783542039,,0.6329478154544207,0.5002697374376133,0.6329478154544207
2024,10,27393,1,97,1,1,202410273931008992,1,1,1,1,2, ,1,62.0,1,1,8.0,5.0,1962,1, , , , , , , , , , , , , , , ,7322,3100,2, ,3,2,1,1,0,7,7,7,7,0,0,28.0,,28.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1,, ,1732.0, ,,, , , ,1732.0,1732.0,1732.0,1,1935.12187204229,,,,62.0,1.0,2.0,0,0,0,0,0,0,0,7.457609289715606,7.457609289715606,7.457609289715606,,7.457609289715606,,,0.6153846153846153,0.25,,0.23636363636363633,,0.043228242118158865,0.043228242118158865,0.043228242118158865,,0.04327608190204755,,,0.6591828536221294,0.6591828536221294,0.6591828536221294
2024,10,27393,1,97,1,1,202410273931008992,1,2,3,1,2, ,1,26.0,2,2,6.0,2.0,1998,1, , , , , , , , , , , , , , , ,5230,5610,3,5,1, ,2,32,5,5,5,0,0,5,0,20.0,,20.0,1,,2, ,2,2,4,600,50, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1,600.0,217,, ,,, , , ,817.0,817.0,817.0,1,2448.13279960002,,,,26.0,1.0,2.0,0,0,0,0,0,0,0,6.706862336602747,6.706862336602747,6.706862336602747,6.398594934535208,,,,0.15384615384615383,0.17857142857142855,,0.16363636363636364,,0.020351526364477332,0.020351526364477332,0.020351526364477332,0.017460416797046123,,,,0.5776717601075786,0.5776717601075786,0.5776717601075786
2024,10,27393,1,98,1,1,202410273931008992,1,1,1,1,2, ,1,49.0,1,1,15.0,1.0,1975,1, , , , , , , , , , , , , , , ,4417,8610,3,5,1, ,5,9998,0,6,11,6,6,6,6,41.0,,41.0,1,,2, ,2,2,4,3500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,3500.0, ,, ,,, , ,909,3500.0,3500.0,4409.0,1,1935.12187204229,,,,49.0,1.0,2.0,0,0,0,0,0,0,0,8.160803920954665,8.160803920954665,8.391629968440892,8.160803920954665,,,,0.4487179487179487,0.36607142857142855,,0.3545454545454545,,0.0874315573668025,0.0874315573668025,0.11015826186964021,0.10820451843043995,,,,0.7355310334025412,0.7355310334025412,0.7605925850535082
2024,10,27393,1,98,1,1,202410273931008992,1,2,2,1,2, ,2,48.0,2,2,6.0,9.0,1976,1, , , , , , , , , , , , , , , ,2341,8521,3,2, , ,5,9998,0,6,6,6,6,6,0,30.0,,30.0,1,,2, ,2,2,4,3400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,3400.0, ,, ,,, , ,50,3400.0,3400.0,3450.0,1,1821.93900057895,,,,48.0,1.0,2.0,0,0,0,0,0,0,0,8.131824785007195,8.131824785007195,8.146419323098003,8.131824785007195,,,,0.4358974358974359,0.26785714285714285,,0.2545454545454545,,0.08493136985273894,0.08493136985273894,0.08618146360977072,0.1050754114775643,,,,0.7323846722346525,0.7323846722346525,0.7339692497733145
2024,10,25748,1,10,1,1,202410257481000992,1,3,3,1,2, ,1,47.0,3,4,25.0,12.0,1976,1, , , , , , , , , , , , , , , ,7411,4321,2, ,3,2,1,1,0,8,8,8,8,8,0,40.0,,40.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,2850.0, ,,, , , ,2850.0,2850.0,2850.0,1,1146.41640937861,,,,47.0,1.0,2.0,0,0,0,0,0,0,0,7.955425088912672,7.955425088912672,7.955425088912672,,7.955425088912672,,,0.423076923076923,0.3571428571428571,,0.34545454545454546,,0.0711803385253894,0.0711803385253894,0.0711803385253894,,0.07122678066951674,,,0.7132323705640555,0.7132323705640555,0.7132323705640555
2024,10,25748,1,10,1,1,202410257481000992,1,4,4,1,2, ,2,39.0,4,4,24.0,2.0,1985,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,0,4,4,4,4,4,0,20.0,,20.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,, ,2000.0, ,,, , , ,2000.0,2000.0,2000.0,1,1301.37882555833,,,,39.0,1.0,2.0,0,0,0,0,0,0,0,7.601402334583733,7.601402334583733,7.601402334583733,,7.601402334583733,,,0.3205128205128205,0.17857142857142855,,0.16363636363636364,,0.04992874465584919,0.04992874465584919,0.04992874465584919,,0.04997624940623516,,,0.6747949427267068,0.6747949427267068,0.6747949427267068
