ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24,C208_num,OCUP300_num,P209H_num,target_subempleo_horas,whoraT_missing_flag,C318_T_missing_flag,C208_outlier_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,INGTOT_log,INGTOTP_log,INGTRABW_log,I339_1_log,I342_log,I345_1_log,I348_log,C208_robust,C318_T_robust,C328_T_robust,whoraT_robust,C331_robust,INGTOT_robust,INGTOTP_robust,ingtrabw_robust,I339_1_robust,I342_robust,I345_1_robust,I348_robust,INGTOT_log_robust,INGTOTP_log_robust,INGTRABW_log_robust
2024,11,2453401,1,67,1,1,20241124534010998784,1,2,3,1,2, ,2,29.0,2,2,12.0,10.0,1995,1, , , , , , , , , , , , , , , ,9533,4799,2, ,3,2,1,1,2,5,5,2,5,4,4,27.0,18.0,45.0,1,,2, ,2,2, , , , , , , ,600,50, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,250.0,50,,600.0, ,50, ,950.0,300.0,950.0,1,2040.23110420938,,,,29.0,1.0,2.0,0,0,0,0,0,0,0,6.85751406254539,5.707110264748875,6.85751406254539,,5.525452939131784,,6.398594934535208,-0.5217391304347826,-0.75,0.5714285714285714,-0.05555555555555555,,-0.38372881355932204,-0.8727272727272727,-0.4248536109303839,,-0.6419400855920114,,0.38461538461538464,-0.5240896884981318,-1.8898416389554817,-0.5738989949444148
2024,11,2453401,1,68,1,1,20241124534010998784,1,1,1,1,2, ,2,65.0,1,1,4.0,3.0,1959,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, ,5120,5630,2, ,3,2,1,1,6,6,6,6,6,6,8,44.0,,44.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,, ,280.0, ,,, , , ,280.0,280.0,280.0,1,1692.16821328847,,,,65.0,1.0,2.0,0,0,0,0,0,0,0,5.638354669333745,5.638354669333745,5.638354669333745,,5.638354669333745,,,1.0434782608695652,0.1,,-0.1111111111111111,,-0.8379661016949153,-0.8872727272727273,-0.8607677293428757,,-0.6205420827389444,,,-1.8923591080262863,-1.970709875276993,-1.9123694399082634
2024,11,2453401,1,68,1,1,20241124534010998784,1,2,2,1,2, ,1,62.0,2,2,13.0,6.0,1962,1, , , , , , , , , , , , , , , ,8112,2395,3,5,1, ,5,1000,0,11,11,11,11,11,8,63.0,,63.0,1,,2, ,2,2,4,2400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2400.0, ,, ,,, , ,283,2400.0,2400.0,2683.0,1,1797.28943706057,,,,62.0,1.0,2.0,0,0,0,0,0,0,0,7.783640596221253,7.783640596221253,7.895063498091573,7.783640596221253,,,,0.9130434782608695,1.05,,0.9444444444444444,,0.5993220338983051,0.6545454545454545,0.7026675341574495,0.6206896551724138,,,,0.5153073105309455,0.5525100643553672,0.565188529131616
2024,11,2453401,1,68,1,1,20241124534010998784,1,3,3,1,2, ,1,33.0,3,3,23.0,4.0,1991,1, , , , , , , , , , , , , , , ,8112,810,3,5,1, ,2,40,0,10,10,10,10,10,10,60.0,,60.0,1,,2, ,2,2,2,400, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1732.0, ,, ,,, , , ,1732.0,1732.0,1732.0,1,2273.7602653413,,,,33.0,1.0,2.0,0,0,0,0,0,0,0,7.457609289715606,7.457609289715606,7.457609289715606,7.457609289715606,,,,-0.34782608695652173,0.9,,0.7777777777777778,,0.1464406779661017,0.16872727272727273,0.08392973324658426,0.16,,,,0.14940054806461614,0.16904197592531825,0.08492357592164398
2024,11,2453401,1,69,1,1,20241124534010998784,1,1,1,1,2, ,1,49.0,1,1,14.0,11.0,1975,1, , , , , , , , , , , , , , , ,7111,4100,3,5,1, ,3,80,0,8,8,8,8,8,8,48.0,,48.0,1,,2, ,2,2,4,2400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2400.0, ,, ,,, , , ,2400.0,2400.0,2400.0,1,1797.28943706057,,,,49.0,1.0,2.0,0,0,0,0,0,0,0,7.783640596221253,7.783640596221253,7.783640596221253,7.783640596221253,,,,0.34782608695652173,0.3,,0.1111111111111111,,0.5993220338983051,0.6545454545454545,0.5185426154847105,0.6206896551724138,,,,0.5153073105309455,0.5525100643553672,0.4428614061352874
2024,11,2453401,1,69,1,1,20241124534010998784,1,3,3,1,2, ,1,27.0,3,3,20.0,5.0,1997,1, , , , , , , , , , , , , , , ,7231,4520,3,5,1, ,1,10,0,8,8,8,8,8,8,48.0,,48.0,1,,2, ,2,2,2,400, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1732.0, ,, ,,, , , ,1732.0,1732.0,1732.0,1,2273.7602653413,,,,27.0,1.0,2.0,0,0,0,0,0,0,0,7.457609289715606,7.457609289715606,7.457609289715606,7.457609289715606,,,,-0.6086956521739131,0.3,,0.1111111111111111,,0.1464406779661017,0.16872727272727273,0.08392973324658426,0.16,,,,0.14940054806461614,0.16904197592531825,0.08492357592164398
2024,11,2453401,1,70,1,1,20241124534010998784,1,2,2,1,2, ,2,60.0,2,2,,,1964,1, , , , , , , , , , , , , , , ,9411,5610,2, ,3,2,1,1,6,10,10,10,10,10,10,66.0,,66.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,9,1,, ,1000.0,300,,, , , ,1300.0,1300.0,1300.0,1,1692.16821328847,,,,60.0,1.0,2.0,0,0,0,0,0,0,0,7.170888478512505,7.170888478512505,7.170888478512505,,6.90875477931522,,,0.8260869565217391,1.2,,1.1111111111111112,,-0.1464406779661017,-0.14545454545454545,-0.19713728041639558,,-0.10699001426533523,,,-0.17238782521612328,-0.16819030573368782,-0.2298567012826744
2024,11,24535,1,118,1,1,202411245351011008,1,2,3,1,2, ,1,59.0,2,2,9.0,6.0,1965,1, , , , , , , , , , , , , , , ,2411,6920,2, ,2,2,1,1,0,8,8,8,8,8,2,42.0,,42.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,1850.0, ,,, , , ,1850.0,1850.0,1850.0,1,2194.02455057499,,,,59.0,1.0,2.0,0,0,0,0,0,0,0,7.523481312573497,7.523481312573497,7.523481312573497,,7.523481312573497,,,0.782608695652174,0.0,,-0.2222222222222222,,0.2264406779661017,0.2545454545454545,0.16070266753415746,,0.4992867332382311,,,0.22332908848415886,0.24651864206841623,0.1572420571934072
2024,11,24535,1,119,1,1,202411245351011008,1,1,1,1,2, ,2,65.0,1,1,14.0,2.0,1959,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9612,3811,2, ,3,2,1,1,0,3,3,3,3,3,4,19.0,,20.0,2,20.0,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1,, ,217.0, ,,, , , ,217.0,217.0,217.0,1,2065.69878345777,,,,65.0,1.0,2.0,0,0,0,0,0,0,0,5.384495062789089,5.384495062789089,5.384495062789089,,5.384495062789089,,,1.0434782608695652,-1.15,,-1.4444444444444444,-1.5625,-0.8806779661016949,-0.9330909090909091,-0.9017566688353936,,-0.6654778887303852,,,-2.1772671671550268,-2.2692918093085264,-2.191072604090166
2024,11,24535,1,120,1,1,202411245351012000,1,1,1,1,2, ,1,54.0,1,1,31.0,7.0,1970,1, , , , , , , , , , , , , , , ,220,8423,3,1, , ,5,1000,0,8,8,8,8,8,5,45.0,,45.0,1,,2, ,2,2,4,4000,15, , , , , , , , , , , , , ,2,4,2, ,2, ,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,4000.0,450,, ,,, , ,50,4450.0,4450.0,4500.0,1,2194.02455057499,,,,54.0,1.0,2.0,0,0,0,0,0,0,0,8.400884069015854,8.400884069015854,8.412054873292933,8.294299608857235,,,,0.5652173913043478,0.15,,-0.05555555555555555,,1.9891525423728813,2.1454545454545455,1.8848405985686403,1.7241379310344827,,,,1.2080431192617378,1.2784930294433254,1.1327744246767026
2024,11,24535,1,120,1,1,202411245351012000,1,2,2,1,2, ,2,46.0,2,2,11.0,1.0,1978,1, , , , , , , , , , , , , , , ,5212,4711,3,5,2,2,1,3,0,10,10,10,10,10,10,60.0,,60.0,1,,2, ,2,2,2,200, , , , , , , , , , , , , , ,2,4,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,1,866.0, ,, ,,, , , ,866.0,866.0,866.0,1,2065.69878345777,,,,46.0,1.0,2.0,0,0,0,0,0,0,0,6.765038976780541,6.765038976780541,6.765038976780541,6.765038976780541,,,,0.21739130434782608,0.9,,0.7777777777777778,,-0.4406779661016949,-0.4610909090909091,-0.47950553025374104,-0.43724137931034485,,,,-0.6278749955095191,-0.6455381233020863,-0.6754240046198816
2024,11,24535,1,121,1,1,202411245351012000,1,1,1,1,2, ,1,30.0,1,1,14.0,7.0,1994,1, , , , , , , , , , , , , , , ,3432,9609,2, ,3,2,1,1,0,9,9,9,9,9,12,57.0,,57.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1600.0, ,,, , , ,1600.0,1600.0,1600.0,1,2775.67193208435,,,,30.0,1.0,2.0,0,0,0,0,0,0,0,7.378383712996714,7.378383712996714,7.378383712996714,,7.378383712996714,,,-0.4782608695652174,0.75,,0.6111111111111112,,0.05694915254237288,0.07272727272727272,-0.001951854261548471,,0.3209700427960057,,,0.060485239309640615,0.07585926661811983,-0.002055283047820274
2024,11,24535,1,121,1,1,202411245351012000,1,2,2,1,2, ,2,27.0,2,1,2.0,9.0,1997,1, , , , , , , , , , , , , , , ,5142,9602,2, ,2,2,1,1,6,0,8,9,9,9,9,50.0,,50.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1500.0, ,,, , , ,1500.0,1500.0,1500.0,1,2490.59335640621,,,,27.0,1.0,2.0,0,0,0,0,0,0,0,7.313886831633462,7.313886831633462,7.313886831633462,,7.313886831633462,,,-0.6086956521739131,0.4,,0.2222222222222222,,-0.010847457627118645,0.0,-0.06701366297983084,,0.24964336661911554,,,-0.01189997210377205,0.0,-0.07286404683845113
2024,11,2951502,1,45,1,1,20241129515021000704,1,2,2,1,2, ,2,65.0,2,2,12.0,11.0,1959,1, , , , , , , , , , , , , , , ,1114,8411,3,2, , ,5,9998,4,12,7,10,10,7,5,55.0,,55.0,1,,2, ,2,2,4,3200, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1,3200.0, ,, ,,, , , ,3200.0,3200.0,3200.0,1,1437.29149410119,,,,65.0,1.0,2.0,0,0,0,0,0,0,0,8.071218539969863,8.071218539969863,8.071218539969863,8.071218539969863,,,,1.0434782608695652,0.65,,0.5,,1.1416949152542373,1.2363636363636363,1.0390370852309694,1.1724137931034482,,,,0.8380576484711314,0.890750479197288,0.7585826977680455
2024,11,2951502,1,45,1,1,20241129515021000704,1,5,3,1,2, ,2,26.0,5,5,24.0,11.0,1998,1, , , , , , , , , , , , , , , ,4417,2220,7,5,1, ,4,400,0,8,8,8,8,8,4,44.0,,44.0,1,,1,1,1,2,4,1250,87, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,9,1,1250.0,377,, ,,, , , ,1627.0,1627.0,1627.0,1,1732.92867047901,,,,26.0,1.0,1.0,1,0,0,0,0,0,0,7.395107546562485,7.395107546562485,7.395107546562485,7.131698510466912,,,,-0.6521739130434783,0.1,,-0.1111111111111111,,0.07525423728813559,0.09236363636363637,0.015614834092387769,-0.1724137931034483,,,,0.0792544914457734,0.0955293300774328,0.016305201298129395
2024,11,2951502,1,46,1,1,20241129515021000704,1,1,1,1,2, ,1,61.0,1,1,19.0,11.0,1963,1, , , , , , , , , , , , , , , ,3334,6810,2, ,2,1,1,1,1,3,1,5,2,2,2,16.0,,30.0,2,30.0,1,1,1,1, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,4000.0, ,,, , , ,4000.0,4000.0,4000.0,1,1526.57921360251,,,,61.0,1.0,1.0,1,0,0,0,0,0,0,8.294299608857235,8.294299608857235,8.294299608857235,,8.294299608857235,,,0.8695652173913043,-1.3,,-0.8888888888888888,-0.9375,1.6840677966101696,1.8181818181818181,1.5595315549772284,,2.0328102710413694,,,1.0884227822951524,1.1531316350685608,1.0034952327484967
2024,11,2951502,1,46,1,1,20241129515021000704,1,2,2,1,2, ,2,57.0,2,2,5.0,3.0,1967,1, , , , , , , , , , , , , , , ,3334,6810,2, ,2,2,1,1,0,4,6,6,6,6,4,32.0,,32.0,1,,1,2,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,3600.0, ,,, , , ,3600.0,3600.0,3600.0,1,1437.29149410119,,,,57.0,1.0,2.0,0,0,0,0,0,0,0,8.188966863648876,8.188966863648876,8.188966863648876,,8.188966863648876,,,0.6956521739130435,-0.5,,-0.7777777777777778,,1.4128813559322033,1.5272727272727273,1.2992843201040989,,1.7475035663338088,,,0.9702072520322202,1.0292424696781217,0.8878542696936996
2024,11,2951502,1,46,1,1,20241129515021000704,1,3,3,1,2, ,2,20.0,3,3,3.0,12.0,2003,1, , , , , , , , , , , , , , , ,3317,9329,8,5,1, ,1,15,0,4,4,4,0,4,0,16.0,,16.0,1,,2, ,2,2,5, , , , , , , , ,2,4,1,2,11, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1,, ,, ,,, , , ,,,,1,1797.91737059546,,,,20.0,1.0,2.0,0,0,0,0,0,0,0,,,,,,,,-0.9130434782608695,-1.3,,-1.6666666666666667,,,,,,,,,,,
