ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24,C208_num,OCUP300_num,P209H_num,target_subempleo_horas
2024,10,17564,1,125,1,1,202410175641012000,1,1,1,1,2, ,1,29,1,1,7,12,1994,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,6,13,13,13,13,13,13,84, ,84,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,4100, , , , , , ,4100,4100,4100,1,1063.82213760613,,,,29.0,1.0,2.0,0
2024,10,17652,1,55,1,1,202410176521004992,1,1,1,1,2, ,1,37,1,1,13,1,1987,1, , , , , , , , , , , , , , , ,3257,4220,3,5,1, ,5,650,0,9,9,9,9,9,5,50, ,50,1, ,1,1,1,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000, , , , , , , ,25,4000,4000,4025,1,738.62511126398,,,,37.0,1.0,1.0,1
2024,10,17652,1,56,1,1,202410176521004992,1,1,1,1,2, ,1,33,1,1,17,8,1991,1, , , , , , , , , , , , , , , ,4321,4630,3,5,1, ,2,30,0,8,8,8,8,8,6,46, ,48,2,48,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1025, , , , , , , , ,1025,1025,1025,1,738.62511126398,,,,33.0,1.0,1.0,1
2024,10,17652,1,56,1,1,202410176521004992,1,4,7,1,2, ,1,27,4,4,7,2,1997,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,9,9,9,9,9,9,54, ,54,1, ,1,1,1,1,2,240, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1039, , , , , , , , ,1039,1039,1039,1,738.62511126398,,,,27.0,1.0,1.0,1
2024,10,25077,1,31,1,1,202410250771003008,1,1,1,1,2, ,1,63,1,1,17,1,1961,1, , , , , , , , , , , , , , , ,7221,2511,2, ,3,2,1,1,0,0,0,8,8,8,0,24, ,48,2,48,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,900, , , , , , ,900,900,900,1,1157.78331367296,,,,63.0,1.0,1.0,1
2024,10,25077,1,31,1,1,202410250771003008,1,2,2,1,2, ,2,60,2,2,25,11,1963,1, , , , , , , , , , , , , , , ,5213,4782,2, ,2,2,1,1,10,10,10,10,0,10,10,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1032, , , , , , ,1032,1032,1032,1,1090.06600766393,,,,60.0,1.0,2.0,0
2024,10,25077,1,31,1,1,202410250771003008,1,3,3,1,2, ,2,33,3,1,28,3,1991,1, , , , , , , , , , , , , , , ,3432,1811,3,5,2,1,1,6,0,8,8,8,8,8,6,46, ,46,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1083, , , , , , , , ,1083,1083,1083,1,1314.28220729624,,,,33.0,1.0,2.0,0
2024,10,25077,1,33,1,1,202410250771003008,1,1,1,1,2, ,1,41,1,1,12,12,1982,1, , , , , , , , , , , , , , , ,9621,4923,2, ,3,2,1,1,0,5,5,5,5,5,2,27, ,27,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1415, , , , , , ,1415,1415,1415,1,1464.71772449194,,,,41.0,1.0,1.0,1
2024,10,25077,1,33,1,1,202410250771003008,1,2,2,1,2, ,2,45,2,2,19,12,1978,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,2,3,3,3,6,2,3,22, ,22,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,850,150, , , , , ,1000,1000,1000,1,1090.06600766393,,,,45.0,1.0,1.0,1
2024,10,25077,1,33,1,1,202410250771003008,1,3,3,1,2, ,2,25,3,2,24,10,1998,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,150,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1025, , , , , , , , ,1025,1025,1025,1,1314.28220729624,,,,25.0,1.0,2.0,0
2024,10,25077,1,34,1,1,202410250771003008,1,1,1,1,2, ,2,56,1,1,20,9,1968,1, , , , , , , , , , , , , , , ,7354,9529,2, ,3,2,1,1,0,6,6,7,7,6,7,39, ,39,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1, , ,606, , , , , , ,606,606,606,1,1090.06600766393,,,,56.0,1.0,2.0,0
2024,10,25077,1,34,1,1,202410250771003008,1,2,3,1,2, ,2,21,2,2,24,1,2003,1, , , , , , , , , , , , , , , ,2359,8510,3,5,1, ,1,10,0,0,0,0,6,0,0,6,24,30,1, ,1,2,2,1,4,400, , , ,960, , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,400, , , ,960, , , , ,1360,400,1360,1,1363.57072891482,,,,21.0,1.0,2.0,0
2024,10,27393,1,97,1,1,202410273931008992,1,1,1,1,2, ,1,62,1,1,8,5,1962,1, , , , , , , , , , , , , , , ,7322,3100,2, ,3,2,1,1,0,7,7,7,7,0,0,28, ,28,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1, , ,1732, , , , , , ,1732,1732,1732,1,1935.12187204229,,,,62.0,1.0,2.0,0
2024,10,27393,1,97,1,1,202410273931008992,1,2,3,1,2, ,1,26,2,2,6,2,1998,1, , , , , , , , , , , , , , , ,5230,5610,3,5,1, ,2,32,5,5,5,0,0,5,0,20, ,20,1, ,2, ,2,2,4,600,50, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1,600,217, , , , , , , ,817,817,817,1,2448.13279960002,,,,26.0,1.0,2.0,0
2024,10,27393,1,98,1,1,202410273931008992,1,1,1,1,2, ,1,49,1,1,15,1,1975,1, , , , , , , , , , , , , , , ,4417,8610,3,5,1, ,5,9998,0,6,11,6,6,6,6,41, ,41,1, ,2, ,2,2,4,3500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,3500, , , , , , , ,909,3500,3500,4409,1,1935.12187204229,,,,49.0,1.0,2.0,0
2024,10,27393,1,98,1,1,202410273931008992,1,2,2,1,2, ,2,48,2,2,6,9,1976,1, , , , , , , , , , , , , , , ,2341,8521,3,2, , ,5,9998,0,6,6,6,6,6,0,30, ,30,1, ,2, ,2,2,4,3400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,3400, , , , , , , ,50,3400,3400,3450,1,1821.93900057895,,,,48.0,1.0,2.0,0
2024,10,25748,1,10,1,1,202410257481000992,1,3,3,1,2, ,1,47,3,4,25,12,1976,1, , , , , , , , , , , , , , , ,7411,4321,2, ,3,2,1,1,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,2850, , , , , , ,2850,2850,2850,1,1146.41640937861,,,,47.0,1.0,2.0,0
2024,10,25748,1,10,1,1,202410257481000992,1,4,4,1,2, ,2,39,4,4,24,2,1985,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,0,4,4,4,4,4,0,20, ,20,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,2000, , , , , , ,2000,2000,2000,1,1301.37882555833,,,,39.0,1.0,2.0,0
2024,10,25748,1,12,1,1,202410257481000992,1,1,1,1,2, ,1,50,1,2,29,9,1974,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,12,12,12,12,12,12,12,84, ,84,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,4300, , , , , , ,4300,4300,4300,1,1146.41640937861,,,,50.0,1.0,2.0,0
2024,10,25748,1,13,1,1,202410257481000992,1,1,1,1,2, ,1,53,1,1,9,4,1971,1, , , , , , , , , , , , , , , ,2141,2511,3,5,1, ,1,20,0,8,8,8,8,8,0,40, ,40,1, ,1,1,1,2,4,6000, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,6000, , , , , , , ,1500,6000,6000,7500,1,1146.41640937861,,,,53.0,1.0,1.0,1
2024,10,20509,1,114,1,1,202410205091011008,1,1,1,1,2, ,1,60,1,1,31,12,1963,1, , , , , , , , , , , , , , , ,3114,8412,3,2, , ,5,9998,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,4500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,4500, , , , , , , ,50,4500,4500,4550,1,2181.85662601811,,,,60.0,1.0,2.0,0
2024,10,20509,1,114,1,1,202410205091011008,1,2,2,1,2, ,2,53,2,2,12,2,1971,1, , , , , , , , , , , , , , , ,5213,4781,2, ,3,2,1,1,0,9,9,6,9,9,9,51, ,51,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1363,260, , , , , ,1623,1623,1623,1,2054.24254567421,,,,53.0,1.0,2.0,0
2024,10,20509,1,114,1,1,202410205091011008,1,3,3,1,2, ,1,32,3,3,14,4,1992,1, , , , , , , , , , , , , , , ,9112,8620,3,2, , ,5,9998,0,8,8,8,8,8,4,44, ,44,1, ,2, ,2,2,4,1300, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1300, , , , , , , ,50,1300,1300,1350,1,2760.27822709805,,,,32.0,1.0,2.0,0
2024,10,20509,1,116,1,1,202410205091011008,1,1,1,1,2, ,1,37,1,1,25,1,1987,1, , , , , , , , , , , , , , , ,2259,8690,3,5,1, ,1,10,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,624,2500,2500,3124,1,2760.27822709805,,,,37.0,1.0,2.0,0
2024,10,20509,1,116,1,1,202410205091011008,1,2,2,1,2, ,2,36,2,2,16,10,1987,1, , , , , , , , , , , , , , , ,4416,8412,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3500, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,3500, , , , , , , , ,3500,3500,3500,1,2476.78067958148,,,,36.0,1.0,2.0,0
2024,10,20509,1,117,1,1,202410205091011008,1,1,1,1,2, ,1,45,1,1,6,1,1979,1, , , , , , , , , , , , , , , ,3422,9312,3,5,1, ,2,50,0,5,5,5,5,5,0,25, ,25,1, ,2, ,2,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,4000, , , , , , , ,333,4000,4000,4333,1,2181.85662601811,,,,45.0,1.0,2.0,0
2024,10,20509,1,118,1,1,202410205091011008,1,1,1,1,2, ,2,60,1,1,16,1,1964,1, , , , , , , , , , , , , , , ,4110,2392,3,5,1, ,4,350,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,4500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4500, , , , , , , ,1125,4500,4500,5625,1,2054.24254567421,,,,60.0,1.0,2.0,0
2024,10,20509,1,118,1,1,202410205091011008,1,3,9,2, ,1,2,57,3,3,20,1,1967,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,18,10,10,10,10,6,64, ,64,1, ,2, ,2,2,4,800,90, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,800,390, , , , , , ,66,1190,1190,1256,1,2054.24254567421,,,,57.0,1.0,2.0,0
2024,10,47268,1,43,1,1,202410472681004000,1,2,2,1,2, ,2,38,2,2,21,5,1986,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,3,0,3,0,3,0,0,9, ,12,2,12,1,1,1,2,2,20, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,87, , , , , , , , ,87,87,87,1,1688.61394946582,,,,38.0,1.0,1.0,1
2024,10,47268,1,44,1,1,202410472681004000,1,1,1,1,2, ,1,39,1,1,12,6,1985,1, , , , , , , , , , , , , , , ,9313,4100,3,5,1, ,1,18,0,10,10,10,10,10,6,56, ,56,1, ,2, ,2,2,2,600, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,3, ,3,2,2,2,2,2,2,10,7,1,2598, , , , , , , , ,2598,2598,2598,1,1881.89626845448,,,,39.0,1.0,2.0,0
2024,10,47268,1,48,1,1,202410472681004000,1,1,1,1,2, ,1,36,1,1,28,1,1988,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,2,50,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,2,600, , , , , , , , , , , , , , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,1,2598, , , , , , , , ,2598,2598,2598,1,1881.89626845448,,,,36.0,1.0,2.0,0
2024,10,26337,1,32,1,1,202410263371003008,1,1,1,1,2, ,2,46,1,1,9,99,1978,1, , , , , , , , , , , , , , , ,2251,8620,3,5,1, ,1,5,0,8,8,8,8,8,8,48,36,84,1, ,1,2,2,2,4,4500, , , , , ,4000, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4500, , , , ,4000, , ,1150,8500,4500,9650,1,1386.10853557051,,,,46.0,1.0,2.0,0
2024,10,2244001,1,14,1,1,20241022440011001856,1,1,1,1,2, ,1,54,1,1,25,8,1970,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,7,7,7,7,7,7,7,49, ,49,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,10,1,1, , ,953, , , , , , ,953,953,953,1,1455.00599789376,,,,54.0,1.0,2.0,0
2024,10,2244001,1,14,1,1,20241022440011001856,1,2,2,1,2, ,2,50,2,2,24,4,1974,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,0,0,0,0,0,6,6,7,13,1, ,1,2,2,2,2,60,20, , , , ,200,20, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,3,2,2,2,2,2,2,1,1,1,260,87, , , ,200, ,20, ,567,347,567,1,1369.90450675915,,,,50.0,1.0,2.0,0
2024,10,2244001,1,15,1,1,20241022440011001856,1,1,1,1,2, ,2,25,1,1,23,5,1999,1, , , , , , , , , , , , , , , ,5141,9602,3,5,3,2,1,4,12,0,12,12,12,12,12,72, ,72,1, ,2, ,2,2,2,300, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1299, , , , , , , , ,1299,1299,1299,1,1651.68082140908,,,,25.0,1.0,2.0,0
2024,10,2244001,1,16,1,1,20241022440011001856,1,2,2,1,2, ,1,27,2,2,29,11,1996,1, , , , , , , , , , , , , , , ,2359,8542,2, ,3,2,1,1,0,10,10,10,10,10,0,50, ,50,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1500, , , , , , ,1500,1500,1500,1,1840.73569655803,,,,27.0,1.0,1.0,1
2024,10,2244001,1,17,1,1,20241022440011001856,1,1,1,1,2, ,1,26,1,1,12,12,1997,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,0,8,8,8,8,8,8,48, ,48,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1, , ,1435, , , , , , ,1435,1435,1435,1,1840.73569655803,,,,26.0,1.0,2.0,0
2024,10,2244001,1,17,1,1,20241022440011001856,1,2,2,1,2, ,2,43,2,2,26,6,1981,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,10,10,10,10,10,10,60, ,60,1, ,1,1,1,2,2,250,60, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,1,1,1083,260, , , , , , , ,1343,1343,1343,1,1651.68082140908,,,,43.0,1.0,1.0,1
