ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24,C208_num,OCUP300_num,P209H_num,target_subempleo_horas,whoraT_missing_flag,C318_T_missing_flag,C208_outlier_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,INGTOT_log,INGTOTP_log,INGTRABW_log,I339_1_log,I342_log,I345_1_log,I348_log,C208_std,C318_T_std,C328_T_std,whoraT_std,C331_std,INGTOT_std,INGTOTP_std,ingtrabw_std,I339_1_std,I342_std,I345_1_std,I348_std,INGTOT_log_std,INGTOTP_log_std,INGTRABW_log_std
2024,10,17564,1,125,1,1,202410175641012000,1,1,1,1,2, ,1,29.0,1,1,7.0,12.0,1994,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,6,13,13,13,13,13,13,84.0,,84.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,4100.0, ,,, , , ,4100.0,4100.0,4100.0,1,1063.82213760613,,,,29.0,1.0,2.0,0,0,0,0,0,0,0,8.31898612539206,8.31898612539206,8.31898612539206,,8.31898612539206,,,-0.8808210584609836,2.2945059962244665,,2.2068045824382403,,0.9941866367693549,1.0851863911270598,0.8191761499244614,,1.272893004861491,,,1.1661390839804653,1.1985741670891055,1.0818198177613152
2024,10,17652,1,55,1,1,202410176521004992,1,1,1,1,2, ,1,37.0,1,1,13.0,1.0,1987,1, , , , , , , , , , , , , , , ,3257,4220,3,5,1, ,5,650,0,9,9,9,9,9,5,50.0,,50.0,1,,1,1,1,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000.0, ,, ,,, , ,25,4000.0,4000.0,4025.0,1,738.62511126398,,,,37.0,1.0,1.0,1,0,0,0,0,0,0,8.294299608857235,8.294299608857235,8.300528606199737,8.294299608857235,,,,-0.3398171168397288,0.4896751023849042,,0.30744050958845287,,0.9457515604267834,1.034076744179344,0.786911084772054,1.0039619058409892,,,,1.138467992574413,1.1709948438179112,1.0617614902880752
2024,10,17652,1,56,1,1,202410176521004992,1,1,1,1,2, ,1,33.0,1,1,17.0,8.0,1991,1, , , , , , , , , , , , , , , ,4321,4630,3,5,1, ,2,30,0,8,8,8,8,8,6,46.0,,48.0,2,48.0,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1025.0, ,, ,,, , , ,1025.0,1025.0,1025.0,1,738.62511126398,,,,33.0,1.0,1.0,1,0,0,0,0,0,0,6.933423025730715,6.933423025730715,6.933423025730715,6.933423025730715,,,,-0.6103190876503561,0.277342056050838,,0.1957132111855242,0.3444101289903343,-0.4951919607647218,-0.48643525251520575,-0.503691521324247,-0.5550705700302936,,,,-0.3869371925163455,-0.3493515025489014,-0.42391224179979614
2024,10,17652,1,56,1,1,202410176521004992,1,4,7,1,2, ,1,27.0,4,4,7.0,2.0,1997,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,9,9,9,9,9,9,54.0,,54.0,1,,1,1,1,1,2,240, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1039.0, ,, ,,, , , ,1039.0,1039.0,1039.0,1,738.62511126398,,,,27.0,1.0,1.0,1,0,0,0,0,0,0,6.946975992135418,6.946975992135418,6.946975992135418,6.946975992135418,,,,-1.0160720438662971,0.7020081487189703,,0.5308951063943101,,-0.4884110500767618,-0.4792799019425255,-0.4976687091624643,-0.5477339466144288,,,,-0.37174568618621295,-0.33421037718065955,-0.4091838356934956
2024,10,25077,1,31,1,1,202410250771003008,1,1,1,1,2, ,1,63.0,1,1,17.0,1.0,1961,1, , , , , , , , , , , , , , , ,7221,2511,2, ,3,2,1,1,0,0,0,8,8,8,0,24.0,,48.0,2,48.0,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,900.0, ,,, , , ,900.0,900.0,900.0,1,1157.78331367296,,,,63.0,1.0,1.0,1,0,0,0,0,0,0,6.803505257608338,6.803505257608338,6.803505257608338,,6.803505257608338,,,1.418445693429349,-0.8904896987865258,,0.1957132111855242,0.3444101289903343,-0.5557358061929363,-0.5503223111998506,-0.5574666299115929,,-0.339670060795294,,,-0.5325618873538408,-0.4944932490834756,-0.5650976909621641
2024,10,25077,1,31,1,1,202410250771003008,1,2,2,1,2, ,2,60.0,2,2,25.0,11.0,1963,1, , , , , , , , , , , , , , , ,5213,4782,2, ,2,2,1,1,10,10,10,10,0,10,10,60.0,,60.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1032.0, ,,, , , ,1032.0,1032.0,1032.0,1,1090.06600766393,,,,60.0,1.0,2.0,0,0,0,0,0,0,0,6.940222469119639,6.940222469119639,6.940222469119639,,6.940222469119639,,,1.2155692153213784,1.0205077182200695,,0.8660770016030962,,-0.4918015054207418,-0.48285757722886563,-0.5006801152433557,,-0.2731518343369516,,,-0.3793157033013818,-0.34175528916566533,-0.416523087238466
2024,10,25077,1,31,1,1,202410250771003008,1,3,3,1,2, ,2,33.0,3,1,28.0,3.0,1991,1, , , , , , , , , , , , , , , ,3432,1811,3,5,2,1,1,6,0,8,8,8,8,8,6,46.0,,46.0,1,,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1083.0, ,, ,,, , , ,1083.0,1083.0,1083.0,1,1314.28220729624,,,,33.0,1.0,2.0,0,0,0,0,0,0,0,6.988413181999592,6.988413181999592,6.988413181999592,6.988413181999592,,,,-0.6103190876503561,0.277342056050838,,0.08398591278259555,,-0.46709961648603027,-0.45679165728553045,-0.47873987093971854,-0.5246759873074249,,,,-0.32529878199363493,-0.2879175090434414,-0.3641528260975727
2024,10,25077,1,33,1,1,202410250771003008,1,1,1,1,2, ,1,41.0,1,1,12.0,12.0,1982,1, , , , , , , , , , , , , , , ,9621,4923,2, ,3,2,1,1,0,5,5,5,5,5,2,27.0,,27.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1415.0, ,,, , , ,1415.0,1415.0,1415.0,1,1464.71772449194,,,,41.0,1.0,1.0,1,0,0,0,0,0,0,7.255591274253665,7.255591274253665,7.255591274253665,,7.255591274253665,,,-0.06931514602910147,-0.7312399140359762,,-0.9774234220452267,,-0.30629516302869253,-0.2871076294191135,-0.3359131825317279,,-0.0801481924161551,,,-0.025819128717001354,0.010568952862245379,-0.07380255679719751
2024,10,25077,1,33,1,1,202410250771003008,1,2,2,1,2, ,2,45.0,2,2,19.0,12.0,1978,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,2,3,3,3,6,2,3,22.0,,22.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,850.0,150,,, , , ,1000.0,1000.0,1000.0,1,1090.06600766393,,,,45.0,1.0,1.0,1,0,0,0,0,0,0,6.90875477931522,6.90875477931522,6.90875477931522,,6.746412128573375,,,0.20118682478152589,-0.996656221953559,,-1.2567416680525485,,-0.5073007298503647,-0.49921266425213473,-0.5144465430417162,,-0.3648663586961812,,,-0.41458780496412634,-0.3769104147780395,-0.45071994870974624
2024,10,25077,1,33,1,1,202410250771003008,1,3,3,1,2, ,2,25.0,3,2,24.0,10.0,1998,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,150,0,8,8,8,8,8,8,48.0,,48.0,1,,2, ,2,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1025.0, ,, ,,, , , ,1025.0,1025.0,1025.0,1,1314.28220729624,,,,25.0,1.0,2.0,0,0,0,0,0,0,0,6.933423025730715,6.933423025730715,6.933423025730715,6.933423025730715,,,,-1.1513230292716108,0.3835085792178711,,0.1957132111855242,,-0.4951919607647218,-0.48643525251520575,-0.503691521324247,-0.5550705700302936,,,,-0.3869371925163455,-0.3493515025489014,-0.42391224179979614
