model_name,balancing_strategy,recall_1,precision_1,f1_1,roc_auc
LR_RandomOverSampler,random_over,0.5651085141903172,0.40807715491259794,0.47392369618480923,0.6958617716491228
LR_RandomUnderSampler,random_under,0.5617696160267112,0.4076317383403998,0.4724464724464724,0.697351476559096
RF_RandomUnderSampler,random_under,0.5525876460767947,0.3487881981032666,0.42764857881136953,0.6564901739082621
RF_RandomOverSampler,random_over,0.3063439065108514,0.49261744966442955,0.3777663407102419,0.649862049813625
RF_no_resampling,none,0.22370617696160267,0.5851528384279476,0.32367149758454106,0.6553650400820262
LR_no_resampling,none,0.19198664440734559,0.6804733727810651,0.2994791666666667,0.6967004237619023
