feature,importance
C318_T,0.12085160019910036
busca_otro_empleo,0.08599996547349532
C335_1,0.08408428515070195
whoraT,0.06513817468515198
C208,0.05927366402888326
C335_2,0.05099229799757864
ingreso_por_hora,0.040329781774858804
trabaja_menos_35h,0.039740127939385535
ingreso_por_hora_log,0.03929947988544229
C207,0.036691570082203535
INGTOTP_log,0.03468793883868096
ingtrabw,0.03404085091959068
INGTRABW_log,0.03391851006721118
INGTOTP,0.033738235175600616
ingreso_secundario_total,0.03305005705036781
INGTOT,0.03037444594356954
INGTOT_log,0.029578352499684032
I339_1,0.020216376183245052
I342,0.019301083119738393
C366,0.018977095787945566
SEGURO1,0.015733137933408234
C377,0.011444892797849174
horas_secundaria,0.009947968347121304
jefe_hogar,0.009420318175428172
C328_T,0.007022456589255096
C361_5,0.005759398248180152
tiene_sis,0.005683812723235244
empresa_registrada_sunat,0.005623266747177463
C311_ ,0.005355241107877493
tiene_pension,0.00430522666818427
grupo_edad_35_44,0.004185482849991292
proteccion_social_completa,0.004136759225665993
tiene_seguro_salud,0.0010981457841907115
