model_name,model_type,balancing_strategy,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
LR_RandomOverSampler,logistic_regression,random_over,0.6875909374350447,0.8347081218274112,0.7282037088292278,0.7778270509977827,0.40807715491259794,0.5651085141903172,0.47392369618480923,0.6958617716491228
LR_RandomUnderSampler,logistic_regression,random_under,0.6875909374350447,0.8338607594936709,0.7293108220315527,0.7780894729071313,0.4076317383403998,0.5617696160267112,0.4724464724464724,0.697351476559096
RF_RandomUnderSampler,random_forest,random_under,0.63167740594471,0.8159972536903536,0.6579020204815943,0.7284707324547962,0.3487881981032666,0.5525876460767947,0.42764857881136953,0.6564901739082621
RF_RandomOverSampler,random_forest,random_over,0.7487008937850759,0.7956222331529759,0.8953778023802934,0.8425576246907149,0.49261744966442955,0.3063439065108514,0.3777663407102419,0.649862049813625
RF_no_resampling,random_forest,none,0.7672001662855955,0.7863542384562371,0.9474121228895654,0.859402460456942,0.5851528384279476,0.22370617696160267,0.32367149758454106,0.6553650400820262
LR_no_resampling,logistic_regression,none,0.7763458740386614,0.7835904314777554,0.9701079435372267,0.8669304971555776,0.6804733727810651,0.19198664440734559,0.2994791666666667,0.6967004237619023
